"Day","Product variant SKU","Product ID","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Net items sold","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Net items sold (previous_period)","Orders (previous_period) ","Gross sales (previous_period) ","Discounts (previous_period) ","Returns (previous_period) ","Net sales (previous_period) ","Shipping charges (previous_period) ","Duties (previous_period) ","Additional fees (previous_period) ","Taxes (previous_period) ","Total sales (previous_period) ","Net items sold (previous_period) "
"2026-05-01","LP10-40",8276466368699,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR25-34",8154535559355,3,7770,0,0,7770,0,0,0,0,7770,3,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,200,200,,,200,,,,,200,200
"2026-05-01","J14-34",8225091027131,1,1490,0,0,1490,0,0,0,0,1490,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K160-36",7992986894523,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",2,3580,0,0,3580,0,0,0,0,3580,2,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","K193-30",8279989649595,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PV176-36",8008726642875,2,3380,0,0,3380,0,0,0,0,3380,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","C121-34",7950702641339,1,1490,0,0,1490,0,0,0,0,1490,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR168-40",8092464447675,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVRT2-38",8136373174459,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","K171-36",8014351597755,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",2,3580,0,0,3580,0,0,0,0,3580,2,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","K182-36",8225238319291,1,1790,0,0,1790,0,0,0,0,1790,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","LP14-40",8276467810491,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K180-42",8225222394043,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1790,0,0,1790,0,0,0,0,1790,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","J14-30",8225091027131,1,1490,0,0,1490,0,0,0,0,1490,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K183-34",8246551052475,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1990,0,0,1990,0,0,0,0,1990,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","PVRT2-36",8136373174459,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2590,0,0,2590,0,0,0,0,2590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","J12-32",8153474269371,1,1590,0,0,1590,0,0,0,0,1590,1,"2026-04-06",1,1590,0,0,1590,0,0,0,0,1590,1,0,0,,,0,,,,,0,0
"2026-05-01","J10-34",7181458833595,2,3980,0,0,3980,0,0,0,0,3980,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K152-38",7903697338555,2,3580,0,0,3580,0,0,0,0,3580,2,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PV176-38",8008726642875,1,1590,0,0,1590,0,0,0,0,1590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR20-34",8141171884219,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","CR234-36",8073717350587,3,4770,0,0,4770,0,0,0,0,4770,3,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JOG1-S",8178608373947,1,1245,0,0,1245,0,0,0,0,1245,1,"2026-04-06",1,1245,0,0,1245,0,0,0,0,1245,1,0,0,,,0,,,,,0,0
"2026-05-01","CMWS-MIS-17",8277677179067,1,5242.5,0,0,5242.5,0,0,0,0,5242.5,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JR37-38",8160085475515,2,5180,0,0,5180,0,0,0,0,5180,2,"2026-04-06",2,5180,0,0,5180,0,0,0,0,5180,2,0,0,,,0,,,,,0,0
"2026-05-01","JR9-38",8004700438715,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",2,5179.99,0,0,5179.99,0,0,0,0,5179.99,2,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CMPV87",6979490578619,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2992.5,0,0,2992.5,0,0,0,0,2992.5,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","J15-36",8267348738235,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1990,0,0,1990,0,0,0,0,1990,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","CHR5-32",8275974226107,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","K193-42",8279989649595,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR36-34",8092463694011,1,2590,0,0,2590,0,0,0,0,2590,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","JOG1-L",8178608373947,1,1245,0,0,1245,0,0,0,0,1245,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"2026-05-01","PVR168-36",8092464447675,2,5180,0,0,5180,0,0,0,0,5180,2,"2026-04-06",2,5180,0,-2590,2590,0,0,0,0,2590,1,0,0,,100,100,,,,,100,100
"2026-05-01","K165-36",8030144954555,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,2290,0,0,2290,0,0,0,0,2290,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","J8-34",8018477023419,0,0,0,0,0,0,0,0,0,0,0,"2026-04-06",1,1590,0,0,1590,0,0,0,0,1590,1,-100,-100,,,-100,,,,,-100,-100
"2026-05-01","K133-36",7992980111547,1,1990,0,0,1990,0,0,0,0,1990,1,"2026-04-06",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
