Day,Product variant SKU,Product title,Product variant ID,Product ID,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,Net items sold,Quantity ordered,Quantity returned,Total returns
5/1/2026,PVR104-32,Verdant Olive Water Repellent Relaxed Fit Stretch Formal Pants,4.67026E+13,8.09246E+12,1,2466.66,0,0,2466.66,0,0,0,123.34,2590,1,1,0,0
5/1/2026,JR30-30,Authentic Blue Relaxed Fit Jeans,4.63012E+13,7.98057E+12,1,2466.68,0,0,2466.68,0,0,0,123.32,2590,1,1,0,0
5/1/2026,PV51-32,Effortless Grey Slim Fit Stretch Formal Pants,4.48432E+13,7.9037E+12,9,17057.12,-379.04,-3790.48,12887.6,0,0,0,644.4,13532,7,9,-2,-3980
5/1/2026,J14-32,Rebel Blue Vintage Slim Fit Jeans,4.71323E+13,8.22509E+12,2,2838.09,0,0,2838.09,0,0,0,141.91,2980,2,2,0,0
5/1/2026,STP4-38,Layover Grey Stretchable Travel Pants,4.73228E+13,8.28E+12,1,2466.66,0,0,2466.66,0,0,0,123.34,2590,1,1,0,0
5/1/2026,CMPV16,Army Olive Stretch Cargo Pants,4.09907E+13,6.9795E+12,1,3381.35,0,0,3381.35,0,0,0,608.65,3990,1,1,0,0
5/1/2026,CMPV157,Electric Blue Checks Formal Pants,4.48101E+13,7.89175E+12,1,3381.35,-507.2,0,2874.15,0,0,0,517.35,3391.5,1,1,0,0
5/1/2026,K181-36,Theory Black Houndstooth Slim Fit Power Stretch Pants,4.71328E+13,8.22523E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,PVR104-38,Verdant Olive Water Repellent Relaxed Fit Stretch Formal Pants,4.67026E+13,8.09246E+12,2,4933.34,-123.33,0,4810.01,0,0,0,240.49,5050.5,2,2,0,0
5/1/2026,K153-34,Lagoon Blue Slim Fit Power Stretch Pants,4.64819E+13,8.03031E+12,1,1895.23,-66.06,0,1829.17,0,0,0,91.46,1920.63,1,1,0,0
5/1/2026,JR6-38,Dream Blue Relaxed Fit Jeans,4.63013E+13,7.9806E+12,1,1895.23,0,0,1895.23,0,0,0,94.77,1990,1,1,0,0
5/1/2026,K164-32,Mercury Grey Slim Fit Lightweight Power Stretch Pants,4.64816E+13,8.03015E+12,1,2180.94,-109.04,0,2071.9,0,0,0,103.6,2175.5,1,1,0,0
5/1/2026,JR14-36,Voyager Grey Pro-Stretch Relaxed Fit Jeans,4.64312E+13,8.01847E+12,1,1940.68,0,0,1940.68,0,0,0,349.32,2290,1,1,0,0
5/1/2026,JR18-42,Mossstone Olive Relaxed Fit Jeans,4.68602E+13,8.15452E+12,2,4933.33,0,0,4933.33,0,0,0,246.67,5180,2,2,0,0
5/1/2026,JR36-40,Burnt Vintage Blue Relaxed Fit Jeans,4.71323E+13,8.22509E+12,3,5114.29,0,0,5114.29,0,0,0,255.71,5370,3,3,0,0
5/1/2026,K180-34,Visual Grey Houndstooth Slim Fit Power Stretch Pants,4.71328E+13,8.22522E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,J15-36,Monarch Blue Vintage Slim Fit Jeans,4.72817E+13,8.26735E+12,1,1895.26,0,0,1895.26,0,0,0,94.74,1990,1,1,0,0
5/1/2026,K25-34,Deep Black Slim Fit Power Stretch Pants,4.48431E+13,7.90297E+12,4,7580.96,-94.76,0,7486.2,0,0,0,374.3,7860.5,4,4,0,0
5/1/2026,PVR206-46,Bulldog Grey Houndstooth Relaxed Fit Stretch Formal Pants,4.70919E+13,8.21144E+12,2,3790.48,-63.17,-3632.54,94.77,0,0,0,4.73,99.5,0,2,-2,-3814.17
5/1/2026,CR231-42,Villa Blue Relaxed Fit Stretch Cargo Pants,4.66271E+13,8.07372E+12,1,1704.76,0,0,1704.76,0,0,0,85.24,1790,1,1,0,0
5/1/2026,K25-32,Deep Black Slim Fit Power Stretch Pants,4.48431E+13,7.90297E+12,4,7580.95,-94.76,0,7486.19,0,0,0,374.31,7860.5,4,4,0,0
5/1/2026,JR41-36,Halo Blue Relaxed Fit Jeans,4.74E+13,8.29989E+12,1,2466.66,0,0,2466.66,0,0,0,123.34,2590,1,1,0,0
5/1/2026,CMPV233,Authority Black Pro.Stretch Formal Trousers,4.7718E+13,8.3879E+12,1,3800,-950,0,2850,0,0,0,142.5,2992.5,1,1,0,0
5/1/2026,C229-34,Rainshield Grey Slim Fit Stretch Chinos,4.67545E+13,8.10693E+12,1,1704.76,0,0,1704.76,0,0,0,85.24,1790,1,1,0,0
5/1/2026,K153-30,Lagoon Blue Slim Fit Power Stretch Pants,4.64819E+13,8.03031E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,PVR189-30,Effortless Grey Relaxed Fit Stretch Formal Pants,4.66158E+13,8.07106E+12,1,2180.95,0,0,2180.95,0,0,0,109.05,2290,1,1,0,0
5/1/2026,PVR204-38,Beagle Khaki Houndstooth Relaxed Fit Stretch Formal Pants,4.70919E+13,8.21144E+12,1,1895.23,-94.76,-1800.48,-0.01,0,0,0,0.01,0,0,1,-1,-1890.5
5/1/2026,BD1-38,Ironclad Black Baggy Fit Jeans,4.71155E+13,8.22027E+12,1,1514.29,0,0,1514.29,0,0,0,75.71,1590,1,1,0,0
5/1/2026,PVR192-38,Timeless Grey Relaxed Fit Stretch Formal Pants,4.66158E+13,8.07106E+12,2,4361.89,-109.04,0,4252.85,0,0,0,212.65,4465.5,2,2,0,0
5/1/2026,C121-46,Field Green Slim Fit Stretch Chinos,4.61941E+13,7.9507E+12,1,1419.05,0,0,1419.05,0,0,0,70.95,1490,1,1,0,0
5/1/2026,K171-30,Soft Cream Slim Fit Power Stretch Pants,4.64135E+13,8.01435E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,K167-32,Cayote Khaki Slim Fit Power Stretch Pants,4.63317E+13,7.99298E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,K165-30,Aquatic Blue Slim Fit Lightweight Power Stretch Pants,4.64816E+13,8.03014E+12,1,2180.95,0,0,2180.95,0,0,0,109.05,2290,1,1,0,0
5/1/2026,JR22-36,Eucalyptus Olive Relaxed Fit Jeans,4.68602E+13,8.15453E+12,1,2466.67,0,0,2466.67,0,0,0,123.33,2590,1,1,0,0
5/1/2026,J16-34,Raw Black Power-Stretch Slim Fit Jeans,4.3324E+13,7.17193E+12,2,3790.48,0,0,3790.48,0,0,0,189.52,3980,2,2,0,0
5/1/2026,PV2-34,Somewhere Khaki Slim Fit Stretch Formal Pants,4.63318E+13,7.99299E+12,1,1895.24,-94.76,0,1800.48,0,0,0,90.02,1890.5,1,1,0,0
5/1/2026,PVR187-32,Everyday Black Relaxed Fit Stretch Formal Pants,4.66158E+13,8.07106E+12,5,10904.77,0,0,10904.77,0,0,0,545.23,11450,5,5,0,0
5/1/2026,STP4-34,Layover Grey Stretchable Travel Pants,4.73228E+13,8.28E+12,2,4933.34,0,0,4933.34,0,0,0,246.66,5180,2,2,0,0
5/1/2026,PV51-40,Effortless Grey Slim Fit Stretch Formal Pants,4.48432E+13,7.9037E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,K102-28,Greek Olive Green Slim Fit Power Stretch Pants,4.63317E+13,7.99298E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,J14-34,Rebel Blue Vintage Slim Fit Jeans,4.71323E+13,8.22509E+12,2,2838.1,0,0,2838.1,0,0,0,141.9,2980,2,2,0,0
5/1/2026,BT2-L,Truffle Brown Leather Reversible Belt,4.67939E+13,8.12506E+12,1,1228.57,0,0,1228.57,0,0,0,61.43,1290,1,1,0,0
5/1/2026,JOG4-M,Axel Grey Tapered Fit Joggers,4.69315E+13,8.17865E+12,1,2371.4,-1185.7,0,1185.7,0,0,0,59.3,1245,1,1,0,0
5/1/2026,CR231-44,Villa Blue Relaxed Fit Stretch Cargo Pants,4.66271E+13,8.07372E+12,1,1704.76,-175.12,0,1529.64,0,0,0,76.48,1606.12,1,1,0,0
5/1/2026,CHR5-34,Ashvane Grey Relaxed Fit Stretch Chinos for Men,4.73065E+13,8.27597E+12,2,3885.24,0,0,3885.24,0,0,0,94.76,3980,2,2,0,0
5/1/2026,SR16-34,Acron Brown Chino Shorts,4.65934E+13,8.06355E+12,1,942.86,0,0,942.86,0,0,0,47.14,990,1,1,0,0
5/1/2026,PT7-36,Pewter Grey Relaxed Fit Korean Pintuck Pants,4.64274E+13,8.01763E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
5/1/2026,JR30-42,Authentic Blue Relaxed Fit Jeans,4.63012E+13,7.98057E+12,1,2390.3,0,0,2390.3,0,0,0,199.7,2590,1,1,0,0
5/1/2026,PV175-32,Charcoal Checks Slim Fit Formal Stretch Pants,4.6394E+13,8.00872E+12,4,6057.13,-151.42,0,5905.71,0,0,0,295.29,6201,4,4,0,0
5/1/2026,LS1-36,Belvidere Black All Day Lounge Cotton Shorts,4.63849E+13,8.00592E+12,1,942.84,0,0,942.84,0,0,0,47.16,990,1,1,0,0
5/1/2026,K7-32,Dark Knight Slim Fit Power Stretch Pants,4.48432E+13,7.9037E+12,1,1704.76,0,-1704.76,0,0,0,0,0,0,0,1,-1,-1790
5/1/2026,JR25-40,Fossil Beige Relaxed Fit Jeans,4.68602E+13,8.15454E+12,2,4933.33,0,-2466.67,2466.66,0,0,0,123.34,2590,1,2,-1,-2590
5/1/2026,J30-38,Indigo Blue Power-Stretch Slim Fit Jeans,4.36873E+13,7.18146E+12,1,1704.76,0,0,1704.76,0,0,0,85.24,1790,1,1,0,0
5/1/2026,PV174-32,Dark Navy Stripes Slim Fit Formal Stretch Pants,4.6394E+13,8.00872E+12,1,1514.28,-75.71,0,1438.57,0,0,0,71.93,1510.5,1,1,0,0
5/1/2026,JR37-40,Inklock Black No Fade Jeans - Relaxed Fit,4.68746E+13,8.16009E+12,4,12333.33,0,0,12333.33,0,0,0,616.67,12950,5,5,0,0
5/1/2026,CR233-40,Cave Grey Relaxed Fit Stretch Cargo Pants,4.66271E+13,8.07372E+12,1,1704.76,0,-1704.76,0,0,0,0,0,0,0,1,-1,-1790
5/1/2026,LP7-34,Monaco Black Relaxed Fit Lounge Pants,4.73084E+13,8.27647E+12,1,1895.24,0,0,1895.24,0,0,0,94.76,1990,1,1,0,0
